id;title;year;authors;country;site;age;sample_size;soc_cog_aspect;soc_cog_measure;age2;second_aspect;second_measure;corr_test;correlation;significance;exp_vs_obs;long_vs_cross;description;notes
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-between;placing/rating photographs on board;8.9;prejudice ;MRA Counter-Bias;Pearson (one-tailed);0,26;yes;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
doyle1995longitudinal;A Longitudinal Study of White Children's Racial Prejudice as a Social-CognitiveDevelopment;1995;Doyle, Aboud;Canada; Concordia University, Montreal;5.9;47;similarity-between;placing/rating photographs on board;8.9;prejudice ;MRA Summary;Pearson (one-tailed);-0,3;yes;exp;long;prejudices against black people at age 6 and 9 of white children;there is also a crosssectional part and some more longitudinal measures in the study, where they used MANOVAs and ANOVAS
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;2nd Grade;2517;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;0,3;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;2nd Grade;1175;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;aggressive behaviour;Peer Nomination Inventory + Teacher Report Form (TRF) of the Child BehaviorChecklist;;0,14;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;2nd Grade;1930;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;exposure to violence;subscale of the stressful eventsscale;;0,16;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;2nd Grade;1176;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;aggressive behaviour;Peer Nomination Inventory + Teacher Report Form (TRF) of the Child BehaviorChecklist;;0,16;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;2nd Grade;1924;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;exposure to violence;subscale of the stressful eventsscale;;0,1;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;6th Grade;1508;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;0,24;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;6th Grade;1493;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;aggressive behaviour;Peer Nomination Inventory + Teacher Report Form (TRF) of the Child BehaviorChecklist;;0,16;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;6th Grade;1466;aggressive fantasy;aggressive fantasies subscale of the Children’s Fantasy Inventory ;;exposure to violence;subscale of the stressful eventsscale;;0,27;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;6th Grade;1495;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;aggressive behaviour;Peer Nomination Inventory + Teacher Report Form (TRF) of the Child BehaviorChecklist;;0,26;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
guerra2003community;"Community Violence Exposure, Social Cognition, and Aggression Among
Urban Elementary School Children";2003;Guerra, Huesmann, Spindler;USA;Chicago;6th Grade;1467;Normative beliefs approving aggression;Normative Beliefs about Aggression Scale;;exposure to violence;subscale of the stressful eventsscale;;0,18;yes;exp;cross;aggressive cognitions in urban neighbourhoods from grade 1 to 6;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving/relevant categories;Social Problem-Solving Test (SPST);;nonsocial (isolate) behavior;behavior observed and coded;;-0,32;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving flexibility;Social Problem-Solving Test (SPST);;nonsocial (isolate) behavior;behavior observed and coded;;-0,23;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving/relevant solutions;Social Problem-Solving Test (SPST);;sociable behavior;behavior observed and coded;;0,22;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving flexibility;Social Problem-Solving Test (SPST);;sociable behavior;behavior observed and coded;;0,18;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;6.5;72;proportion of agonistic strategies;Social Problem-Solving Test (SPST);;nonsocial (isolate) behavior;behavior observed and coded;;0,21;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;6.5;72;proportion of prosocial strategies;Social Problem-Solving Test (SPST);;sociable behavior;behavior observed and coded;;0,23;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;6.5;72;proportion of agonistic strategies;Social Problem-Solving Test (SPST);;sociable behavior;behavior observed and coded;;-0,2;;exp;cross;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;nonsocial (isolate) behavior;behavior observed and coded;6.5;social problem solving/relevant solutions;Social Problem-Solving Test (SPST);;-0,26;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;nonsocial (isolate) behavior;behavior observed and coded;6.5;social problem solving flexibility;Social Problem-Solving Test (SPST);;-0,23;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving/relevant categories;Social Problem-Solving Test (SPST);6.5;nonsocial (isolate) behavior;behavior observed and coded;;-0,32;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving flexibility;Social Problem-Solving Test (SPST);6.5;nonsocial (isolate) behavior;behavior observed and coded;;-0,23;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;proportion of agonistic strategies;Social Problem-Solving Test (SPST);6.5;nonsocial (isolate) behavior;behavior observed and coded;;-0,26;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving/relevant categories;Social Problem-Solving Test (SPST);6.5;sociable behavior;behavior observed and coded;;0,27;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
rubin1984social;Social Isolation and Social Problem Solving: A Longitudinal Study;1984;Rubin, Daniels-Beirness, Bream;Canada;University of Waterloo;5.5;55;social problem solving flexibility;Social Problem-Solving Test (SPST);6.5;sociable behavior;behavior observed and coded;;0,34;;exp;long;social problem solving abilities and (non)social behavior in Kindergarden and Grade 1;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;140;friendship understanding;coded Interview (CCQ-Set);7;Ego-resiliency;coded Interview (CCQ-Set);Pearson?;0,14;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;149;friendship understanding;coded Interview (CCQ-Set);7;Ego-control;coded Interview (CCQ-Set);Pearson?;0,1;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;143;friendship understanding;coded Interview (CCQ-Set);7;IQ;Raven Progressive Matrizes;Pearson?;0,06;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;149;friendship understanding;coded Interview (CCQ-Set);7;SES;father's position;Pearson?;0,1;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;149;friendship understanding;coded Interview (CCQ-Set);7;Gender;;Pearson?;0,06;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;139;friendship understanding;coded Interview (CCQ-Set);9;Concentration problems;Rating by teachers;Pearson?;-0,12;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;140;friendship understanding;coded Interview (CCQ-Set);9;Social withdrawal;Rating by teachers;Pearson?;-0,13;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;140;friendship understanding;coded Interview (CCQ-Set);9;Aggressiveness;Rating by teachers;Pearson?;-0,14;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;147;friendship understanding;coded Interview (CCQ-Set);12;Concentration problems;Rating by teachers;Pearson?;-0,12;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;147;friendship understanding;coded Interview (CCQ-Set);12;Social withdrawal;Rating by teachers;Pearson?;-0,04;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;7;147;friendship understanding;coded Interview (CCQ-Set);12;Aggressiveness;Rating by teachers;Pearson?;-0,11;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;165;friendship understanding;coded Interview (CCQ-Set);7;Ego-resiliency;coded Interview (CCQ-Set);Pearson?;0,43;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;165;friendship understanding;coded Interview (CCQ-Set);7;Ego-control;coded Interview (CCQ-Set);Pearson?;0,19;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;159;friendship understanding;coded Interview (CCQ-Set);7;IQ;Raven Progressive Matrizes;Pearson?;0,4;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;165;friendship understanding;coded Interview (CCQ-Set);7;SES;father's position;Pearson?;0,18;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;165;friendship understanding;coded Interview (CCQ-Set);7;Gender;;Pearson?;0,15;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;155;friendship understanding;coded Interview (CCQ-Set);9;Concentration problems;Rating by teachers;Pearson?;-0,38;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;156;friendship understanding;coded Interview (CCQ-Set);9;Social withdrawal;Rating by teachers;Pearson?;-0,3;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;156;friendship understanding;coded Interview (CCQ-Set);9;Aggressiveness;Rating by teachers;Pearson?;-0,27;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;164;friendship understanding;coded Interview (CCQ-Set);12;Concentration problems;Rating by teachers;Pearson?;-0,33;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;164;friendship understanding;coded Interview (CCQ-Set);12;Social withdrawal;Rating by teachers;Pearson?;-0,22;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;9;164;friendship understanding;coded Interview (CCQ-Set);12;Aggressiveness;Rating by teachers;Pearson?;-0,16;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;158;friendship understanding;coded Interview (CCQ-Set);7;Ego-resiliency;coded Interview (CCQ-Set);Pearson?;0,46;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;158;friendship understanding;coded Interview (CCQ-Set);7;Ego-control;coded Interview (CCQ-Set);Pearson?;0,15;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;152;friendship understanding;coded Interview (CCQ-Set);7;IQ;Raven Progressive Matrizes;Pearson?;0,24;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;158;friendship understanding;coded Interview (CCQ-Set);7;SES;father's position;Pearson?;0,24;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;158;friendship understanding;coded Interview (CCQ-Set);7;Gender;;Pearson?;0,21;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;148;friendship understanding;coded Interview (CCQ-Set);9;Concentration problems;Rating by teachers;Pearson?;-0,36;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;"Childhood Personality Influences on Social-Cognitive Development:
A Longitudinal Study";1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;149;friendship understanding;coded Interview (CCQ-Set);9;Social withdrawal;Rating by teachers;Pearson?;-0,3;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;12;149;friendship understanding;coded Interview (CCQ-Set);9;Aggressiveness;Rating by teachers;Pearson?;-0,18;;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;15;160;friendship understanding;coded Interview (CCQ-Set);7;Ego-resiliency;coded Interview (CCQ-Set);Pearson?;0,39;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
hart1998childhood;Childhood Personality Influences on Social-Cognitive Development:A Longitudinal Study;1998;Hart, Keller, Edelstein, Hofmann;Iceland;Reykjavik;15;160;friendship understanding;coded Interview (CCQ-Set);7;Ego-control;coded Interview (CCQ-Set);Pearson?;0,24;yes;exp;long;childhood personality and the development of friendship understanding + moral judgement from age 7 to 19;
